Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=89, sum[0...89]=4005, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=90, sum[0...90]=4095, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=91, sum[0...91]=4186, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=92, sum[0...92]=4278, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=93, sum[0...93]=4371, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=94, sum[0...94]=4465, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=95, sum[0...95]=4560, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=96, sum[0...96]=4656, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=97, sum[0...97]=4753, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=98, sum[0...98]=4851, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=99, sum[0...99]=4950, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=100, sum[0...100]=5050, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=101, sum[0...101]=5151, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=102, sum[0...102]=5253, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=103, sum[0...103]=5356, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=104, sum[0...104]=5460, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=105, sum[0...105]=5565, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=106, sum[0...106]=5671, running on core:0
